benchmark,qubits,gates,name,added gate,time(s)
4gt13_92,5,30,EffectiveQM_abalation_mode_aware,24.0,1.442,
4gt13_92,5,30,EffectiveQM,24.0,0.7914444444444445,
,,,,,,
4mod5-v1_22,5,11,EffectiveQM_abalation_mode_aware,6.0,0.7302,
4mod5-v1_22,5,11,EffectiveQM,6.0,0.4258888888888889,
,,,,,,
9symml_195,11,15232,EffectiveQM_abalation_mode_aware,16328.1,2130.439,
9symml_195,11,15232,EffectiveQM,16240.0,1525.9133333333334,
,,,,,,
adr4_197,13,1498,EffectiveQM_abalation_mode_aware,1588.5,250.45260000000002,
adr4_197,13,1498,EffectiveQM,1567.6666666666667,162.13511111111112,
,,,,,,
alu-v0_27,5,17,EffectiveQM_abalation_mode_aware,12.0,0.7132,
alu-v0_27,5,17,EffectiveQM,12.0,0.8400000000000001,
,,,,,,
co14_215,15,7840,EffectiveQM_abalation_mode_aware,7975.2,2061.948,
co14_215,15,7840,EffectiveQM,7890.333333333333,1246.742777777778,
,,,,,,
cycle10_2_110,12,2648,EffectiveQM_abalation_mode_aware,2754.0,500.2694,
cycle10_2_110,12,2648,EffectiveQM,2728.0,334.85511111111117,
,,,,,,
decod24-v2_43,4,22,EffectiveQM_abalation_mode_aware,18.0,0.46790000000000004,
decod24-v2_43,4,22,EffectiveQM,18.0,0.2717777777777778,
,,,,,,
ising_model_10,10,90,EffectiveQM_abalation_mode_aware,0.0,0.0189,
ising_model_10,10,90,EffectiveQM,0.0,0.07244444444444445,
,,,,,,
ising_model_13,13,120,EffectiveQM_abalation_mode_aware,0.0,0.060399999999999995,
ising_model_13,13,120,EffectiveQM,0.0,0.01888888888888889,
,,,,,,
ising_model_16,16,150,EffectiveQM_abalation_mode_aware,0.0,0.15760000000000002,
ising_model_16,16,150,EffectiveQM,0.0,0.17266666666666663,
,,,,,,
misex1_241,15,2100,EffectiveQM_abalation_mode_aware,2049.3,242.4553,
misex1_241,15,2100,EffectiveQM,2032.0,179.11066666666667,
,,,,,,
mod5mils_65,5,16,EffectiveQM_abalation_mode_aware,12.0,0.6452,
mod5mils_65,5,16,EffectiveQM,12.0,0.25955555555555554,
,,,,,,
qft_10,10,90,EffectiveQM_abalation_mode_aware,46.5,24.875500000000002,
qft_10,10,90,EffectiveQM,45.333333333333336,18.78988888888889,
,,,,,,
qft_13,13,156,EffectiveQM_abalation_mode_aware,103.8,65.4932,
qft_13,13,156,EffectiveQM,99.33333333333333,59.439777777777785,
,,,,,,
qft_16,16,240,EffectiveQM_abalation_mode_aware,174.0,168.322,
qft_16,16,240,EffectiveQM,171.33333333333334,126.61622222222223,
,,,,,,
qft_20,20,380,EffectiveQM_abalation_mode_aware,302.1,513.0459,
qft_20,20,380,EffectiveQM,294.0,321.57222222222225,
,,,,,,
radd_250,13,1405,EffectiveQM_abalation_mode_aware,1483.8,239.1257,
radd_250,13,1405,EffectiveQM,1470.0,140.3634444444444,
,,,,,,
rd73_252,10,2319,EffectiveQM_abalation_mode_aware,2445.6,318.50870000000003,
rd73_252,10,2319,EffectiveQM,2436.6666666666665,265.0783333333333,
,,,,,,
rd84_142,15,154,EffectiveQM_abalation_mode_aware,143.7,53.081500000000005,
rd84_142,15,154,EffectiveQM,142.0,44.263777777777776,
,,,,,,
rd84_253,12,5960,EffectiveQM_abalation_mode_aware,6475.8,1108.1107,
rd84_253,12,5960,EffectiveQM,6458.0,661.2077777777777,
,,,,,,
sqn_258,10,4459,EffectiveQM_abalation_mode_aware,4621.8,661.1916,
sqn_258,10,4459,EffectiveQM,4600.666666666667,396.3175555555556,
,,,,,,
square_root_7,15,3089,EffectiveQM_abalation_mode_aware,3209.4,822.3415000000001,
square_root_7,15,3089,EffectiveQM,3167.0,463.81388888888887,
,,,,,,
sym6_145,7,1701,EffectiveQM_abalation_mode_aware,1598.4,158.1064,
sym6_145,7,1701,EffectiveQM,1587.3333333333333,120.38277777777778,
,,,,,,
sym9_193,11,15232,EffectiveQM_abalation_mode_aware,16328.1,2126.963,
sym9_193,11,15232,EffectiveQM,16240.0,1523.7266666666667,
,,,,,,
z4_268,11,1343,EffectiveQM_abalation_mode_aware,1391.7,221.23049999999998,
z4_268,11,1343,EffectiveQM,1382.0,141.1351111111111,
,,,,,,
