benchmark,qubits,gates,name,added gate,time(s)
4gt13_92,5,30,EffectiveQM_abalation_state_aware,0.0,0.0022,
4gt13_92,5,30,EffectiveQM,0.0,0.0006666666666666666,
,,,,,,
4mod5-v1_22,5,11,EffectiveQM_abalation_state_aware,0.0,0.004500000000000001,
4mod5-v1_22,5,11,EffectiveQM,0.0,0.0017777777777777779,
,,,,,,
9symml_195,11,15232,EffectiveQM_abalation_state_aware,6701.1,1271.1484999999998,
9symml_195,11,15232,EffectiveQM,6684.666666666667,550.6994444444443,
,,,,,,
adr4_197,13,1498,EffectiveQM_abalation_state_aware,537.9,109.58699999999999,
adr4_197,13,1498,EffectiveQM,536.6666666666666,73.29277777777777,
,,,,,,
alu-v0_27,5,17,EffectiveQM_abalation_state_aware,3.0,0.3055,
alu-v0_27,5,17,EffectiveQM,3.0,0.14022222222222222,
,,,,,,
co14_215,15,7840,EffectiveQM_abalation_state_aware,3362.4,803.2002000000001,
co14_215,15,7840,EffectiveQM,3291.0,591.853111111111,
,,,,,,
cycle10_2_110,12,2648,EffectiveQM_abalation_state_aware,1020.3,223.2108,
cycle10_2_110,12,2648,EffectiveQM,1012.0,108.07288888888888,
,,,,,,
decod24-v2_43,4,22,EffectiveQM_abalation_state_aware,0.0,0.0033,
decod24-v2_43,4,22,EffectiveQM,0.0,0.0005555555555555556,
,,,,,,
ising_model_10,10,90,EffectiveQM_abalation_state_aware,0.0,0.0036000000000000003,
ising_model_10,10,90,EffectiveQM,0.0,0.004555555555555556,
,,,,,,
ising_model_13,13,120,EffectiveQM_abalation_state_aware,0.0,0.0142,
ising_model_13,13,120,EffectiveQM,0.0,0.004333333333333334,
,,,,,,
ising_model_16,16,150,EffectiveQM_abalation_state_aware,0.0,0.019600000000000003,
ising_model_16,16,150,EffectiveQM,0.0,0.06844444444444446,
,,,,,,
misex1_241,15,2100,EffectiveQM_abalation_state_aware,481.2,91.9943,
misex1_241,15,2100,EffectiveQM,490.0,51.001,
,,,,,,
mod5mils_65,5,16,EffectiveQM_abalation_state_aware,0.0,0.0102,
mod5mils_65,5,16,EffectiveQM,0.0,0.003777777777777778,
,,,,,,
qft_10,10,90,EffectiveQM_abalation_state_aware,28.5,10.9123,
qft_10,10,90,EffectiveQM,27.0,8.818222222222223,
,,,,,,
qft_13,13,156,EffectiveQM_abalation_state_aware,65.1,48.6125,
qft_13,13,156,EffectiveQM,63.666666666666664,31.230222222222224,
,,,,,,
qft_16,16,240,EffectiveQM_abalation_state_aware,120.6,107.8278,
qft_16,16,240,EffectiveQM,120.33333333333333,66.77922222222222,
,,,,,,
radd_250,13,1405,EffectiveQM_abalation_state_aware,539.7,108.4707,
radd_250,13,1405,EffectiveQM,531.3333333333334,68.25011111111111,
,,,,,,
rd73_252,10,2319,EffectiveQM_abalation_state_aware,885.6,164.9998,
rd73_252,10,2319,EffectiveQM,889.3333333333334,93.14244444444444,
,,,,,,
rd84_142,15,154,EffectiveQM_abalation_state_aware,59.1,20.0336,
rd84_142,15,154,EffectiveQM,57.0,16.748666666666665,
,,,,,,
rd84_253,12,5960,EffectiveQM_abalation_state_aware,2736.9,559.9829,
rd84_253,12,5960,EffectiveQM,2744.3333333333335,215.06666666666666,
,,,,,,
sqn_258,10,4459,EffectiveQM_abalation_state_aware,1614.9,238.3743,
sqn_258,10,4459,EffectiveQM,1589.6666666666667,186.61144444444443,
,,,,,,
square_root_7,15,3089,EffectiveQM_abalation_state_aware,802.5,326.8183,
square_root_7,15,3089,EffectiveQM,762.0,193.9443333333333,
,,,,,,
sym6_145,7,1701,EffectiveQM_abalation_state_aware,474.9,80.3408,
sym6_145,7,1701,EffectiveQM,482.0,42.968888888888884,
,,,,,,
sym9_193,11,15232,EffectiveQM_abalation_state_aware,6701.1,1265.75,
sym9_193,11,15232,EffectiveQM,6684.666666666667,552.8914444444445,
,,,,,,
z4_268,11,1343,EffectiveQM_abalation_state_aware,451.2,116.17469999999999,
z4_268,11,1343,EffectiveQM,445.3333333333333,72.61588888888889,
,,,,,,
