benchmark,qubits,gates,name,added gate,time(s)
4gt13_92,5,30,EffectiveQM_abalation_bridge,39.0,1.6148,
4gt13_92,5,30,EffectiveQM,24.0,1.1857000000000002,
,,,,,,
4mod5-v1_22,5,11,EffectiveQM_abalation_bridge,9.0,0.4614999999999999,
4mod5-v1_22,5,11,EffectiveQM,6.0,0.8206,
,,,,,,
9symml_195,11,15232,EffectiveQM_abalation_bridge,32166.0,2593.2940000000003,
9symml_195,11,15232,EffectiveQM,21841.5,2688.7349999999997,
,,,,,,
adr4_197,13,1498,EffectiveQM_abalation_bridge,2893.2,241.0161,
adr4_197,13,1498,EffectiveQM,2043.9,267.03270000000003,
,,,,,,
alu-v0_27,5,17,EffectiveQM_abalation_bridge,21.0,0.8715999999999999,
alu-v0_27,5,17,EffectiveQM,18.0,0.9471000000000002,
,,,,,,
co14_215,15,7840,EffectiveQM_abalation_bridge,15838.8,1950.4900000000002,
co14_215,15,7840,EffectiveQM,9234.9,2733.852,
,,,,,,
cycle10_2_110,12,2648,EffectiveQM_abalation_bridge,5086.8,338.96750000000003,
cycle10_2_110,12,2648,EffectiveQM,3416.4,497.30060000000003,
,,,,,,
decod24-v2_43,4,22,EffectiveQM_abalation_bridge,27.0,0.5903999999999999,
decod24-v2_43,4,22,EffectiveQM,18.0,0.5862,
,,,,,,
ising_model_10,10,90,EffectiveQM_abalation_bridge,0.0,0.0189,
ising_model_10,10,90,EffectiveQM,0.0,0.032200000000000006,
,,,,,,
ising_model_13,13,120,EffectiveQM_abalation_bridge,0.0,0.055999999999999994,
ising_model_13,13,120,EffectiveQM,0.0,0.09380000000000001,
,,,,,,
ising_model_16,16,150,EffectiveQM_abalation_bridge,0.0,0.1557,
ising_model_16,16,150,EffectiveQM,0.0,0.20980000000000004,
,,,,,,
misex1_241,15,2100,EffectiveQM_abalation_bridge,3751.5,279.7583,
misex1_241,15,2100,EffectiveQM,2515.2,369.16929999999996,
,,,,,,
mod5mils_65,5,16,EffectiveQM_abalation_bridge,18.0,0.4345,
mod5mils_65,5,16,EffectiveQM,12.0,0.6923999999999999,
,,,,,,
qft_10,10,90,EffectiveQM_abalation_bridge,87.0,17.6355,
qft_10,10,90,EffectiveQM,87.3,29.021000000000004,
,,,,,,
qft_13,13,156,EffectiveQM_abalation_bridge,169.5,59.55279999999999,
qft_13,13,156,EffectiveQM,169.2,87.965,
,,,,,,
qft_16,16,240,EffectiveQM_abalation_bridge,273.3,166.2385,
qft_16,16,240,EffectiveQM,276.6,246.1417,
,,,,,,
qft_20,20,380,EffectiveQM_abalation_bridge,460.2,403.2756,
qft_20,20,380,EffectiveQM,458.1,333.8783,
,,,,,,
radd_250,13,1405,EffectiveQM_abalation_bridge,2622.9,218.54749999999999,
radd_250,13,1405,EffectiveQM,1900.8,275.6303,
,,,,,,
rd73_252,10,2319,EffectiveQM_abalation_bridge,4419.0,314.7984,
rd73_252,10,2319,EffectiveQM,3231.3,316.7649,
,,,,,,
rd84_142,15,154,EffectiveQM_abalation_bridge,237.6,48.7063,
rd84_142,15,154,EffectiveQM,172.2,49.736900000000006,
,,,,,,
rd84_253,12,5960,EffectiveQM_abalation_bridge,12321.0,843.3210999999999,
rd84_253,12,5960,EffectiveQM,9030.0,1174.5292000000002,
,,,,,,
sqn_258,10,4459,EffectiveQM_abalation_bridge,8479.5,602.5477999999999,
sqn_258,10,4459,EffectiveQM,6018.0,716.9544,
,,,,,,
square_root_7,15,3089,EffectiveQM_abalation_bridge,6828.6,731.7071,
square_root_7,15,3089,EffectiveQM,4634.4,834.6297000000002,
,,,,,,
sym6_145,7,1701,EffectiveQM_abalation_bridge,2750.4,147.4677,
sym6_145,7,1701,EffectiveQM,1920.3,164.76950000000002,
,,,,,,
sym9_193,11,15232,EffectiveQM_abalation_bridge,32166.0,2641.367,
sym9_193,11,15232,EffectiveQM,21839.4,2600.8019999999997,
,,,,,,
z4_268,11,1343,EffectiveQM_abalation_bridge,2491.8,166.9227,
z4_268,11,1343,EffectiveQM,1807.5,194.11819999999997,
,,,,,,
