benchmark,qubits,gates,name,added gate,time(s),,Avg.,added gate,time(s)
4gt13_92,5,30,Alt-2,24,0.2734,,Alt-2,3564.069231,76.30226538
,,,EffectiveQM,24,0.419444444,,EffectiveQM,3518.974359,139.8271923
,,,ILS,24,0.1176,,ILS,3709.130769,20.88747692
,,,,,,,,,
4mod5-v1_22,5,11,Alt-2,6,0.1432,,,,
,,,EffectiveQM,6,0.258111111,,,,
,,,ILS,6,0.0591,,,,
,,,,,,,,,
9symml_195,11,15232,Alt-2,22470.3,442.63,,,,
,,,EffectiveQM,22183,669.6541111,,,,
,,,ILS,23413.8,118.3802,,,,
,,,,,,,,,
adr4_197,13,1498,Alt-2,2131.8,45.4676,,,,
,,,EffectiveQM,2115.666667,79.98888889,,,,
,,,ILS,2255.4,16.4128,,,,
,,,,,,,,,
alu-v0_27,5,17,Alt-2,18,0.3292,,,,
,,,EffectiveQM,18,0.436666667,,,,
,,,ILS,18,0.1273,,,,
,,,,,,,,,
co14_215,15,7840,Alt-2,9256.8,245.9873,,,,
,,,EffectiveQM,9165,648.5677778,,,,
,,,ILS,10053.9,75.5926,,,,
,,,,,,,,,
cycle10_2_110,12,2648,Alt-2,3462,81.5964,,,,
,,,EffectiveQM,3422.666667,142.733,,,,
,,,ILS,3464.1,15.57,,,,
,,,,,,,,,
decod24-v2_43,4,22,Alt-2,18,0.1023,,,,
,,,EffectiveQM,18,0.155666667,,,,
,,,ILS,18,0.051,,,,
,,,,,,,,,
ising_model_10,10,90,Alt-2,0,0.0084,,,,
,,,EffectiveQM,0,0.008777778,,,,
,,,ILS,0,0.0071,,,,
,,,,,,,,,
ising_model_13,13,120,Alt-2,0,0.0116,,,,
,,,EffectiveQM,0,0.037444444,,,,
,,,ILS,0,0.0088,,,,
,,,,,,,,,
ising_model_16,16,150,Alt-2,37.5,5.789,,,,
,,,EffectiveQM,33.33333333,14.91366667,,,,
,,,ILS,39,1.9165,,,,
,,,,,,,,,
misex1_241,15,2100,Alt-2,2559.3,56.2763,,,,
,,,EffectiveQM,2567.333333,92.72544444,,,,
,,,ILS,2662.2,18.1159,,,,
,,,,,,,,,
mod5mils_65,5,16,Alt-2,12,0.122,,,,
,,,EffectiveQM,12,0.162111111,,,,
,,,ILS,12,0.0531,,,,
,,,,,,,,,
qft_10,10,90,Alt-2,88.2,4.1265,,,,
,,,EffectiveQM,87.66666667,14.13011111,,,,
,,,ILS,91.5,1.2358,,,,
,,,,,,,,,
qft_13,13,156,Alt-2,170.4,10.0528,,,,
,,,EffectiveQM,167.6666667,30.88011111,,,,
,,,ILS,176.4,1.836,,,,
,,,,,,,,,
qft_16,16,240,Alt-2,272.7,24.0483,,,,
,,,EffectiveQM,270.3333333,57.50933333,,,,
,,,ILS,283.2,3.8201,,,,
,,,,,,,,,
radd_250,13,1405,Alt-2,1995.3,44.4616,,,,
,,,EffectiveQM,1977,77.55977778,,,,
,,,ILS,2046.3,11.406,,,,
,,,,,,,,,
rd73_252,10,2319,Alt-2,3331.2,69.148,,,,
,,,EffectiveQM,3311,122.0618889,,,,
,,,ILS,3505.5,16.4578,,,,
,,,,,,,,,
rd84_142,15,154,Alt-2,174.3,8.5248,,,,
,,,EffectiveQM,173,18.91788889,,,,
,,,ILS,175.5,2.2304,,,,
,,,,,,,,,
rd84_253,12,5960,Alt-2,9500.7,195.9738,,,,
,,,EffectiveQM,9306,330.5206667,,,,
,,,ILS,9567,58.8024,,,,
,,,,,,,,,
sqn_258,10,4459,Alt-2,6324.3,105.9171,,,,
,,,EffectiveQM,6239.666667,222.3055556,,,,
,,,ILS,6535.8,30.7664,,,,
,,,,,,,,,
square_root_7,15,3089,Alt-2,4515.6,124.1103,,,,
,,,EffectiveQM,4446.333333,313.1576667,,,,
,,,ILS,4727.4,31.1948,,,,
,,,,,,,,,
sym6_145,7,1701,Alt-2,1964.4,33.2406,,,,
,,,EffectiveQM,1924.666667,51.90333333,,,,
,,,ILS,2019.6,7.5212,,,,
,,,,,,,,,
sym9_193,11,15232,Alt-2,22470.3,441.7305,,,,
,,,EffectiveQM,22183,670.1983333,,,,
,,,ILS,23413.8,119.1016,,,,
,,,,,,,,,
z4_268,11,1343,Alt-2,1862.7,43.7879,,,,
,,,EffectiveQM,1842,76.30122222,,,,
,,,ILS,1929,12.2899,,,,
